26 32.7 2013-04-21 02:02:00.310
26 32.84 2013-04-21 02:02:44.758
26 32.87 2013-04-21 01:59:36.583
26 32.95 2013-04-21 02:17:45.980
26 33.0 2013-04-21 02:14:40.883
26 33.06 2013-04-20 16:28:17.690
26 33.78 2013-04-21 02:19:13.895
26 34.6 2013-04-21 02:19:59.585
26 34.9 2013-04-21 02:13:54.790
26 36.24 2013-04-21 02:21:47.316
26 36.38 2013-04-21 02:23:17.529
26 37.01 2013-04-21 02:33:15.241
26 37.15 2013-04-21 02:36:24.090
26 37.67 2013-04-21 02:27:33.251
26 38.9 2013-04-21 02:37:55.544
26 38.91 2013-04-21 02:10:29.339
26 39.73 2013-04-21 02:34:49.914
26 40.08 2013-04-21 02:07:39.592
26 40.7 2013-04-21 02:25:45.590
26 41.08 2013-04-21 02:26:41.450
26 41.98 2013-04-21 02:16:18.820
26 42.55 2013-04-21 02:06:02.238
26 44.63 2013-04-21 02:00:32.674
26 45.89 2013-04-21 02:12:15.069
27 31.16 2013-04-21 01:46:24.634
27 31.4 2013-04-21 01:45:33.918
27 31.42 2013-04-21 01:44:03.529
27 31.56 2013-04-21 01:41:34.083
27 31.73 2013-04-21 01:50:29.350
27 31.81 2013-04-21 01:49:35.518
27 31.92 2013-04-21 01:56:09.973
27 32.34 2013-04-21 01:48:00.692
27 32.58 2013-04-21 01:38:34.087
27 33.06 2013-04-21 01:40:04.680
27 33.2 2013-04-21 01:39:20.023
27 33.29 2013-04-21 01:43:20.697
27 34.61 2013-04-21 01:40:50.986
27 34.71 2013-04-21 01:54:34.266
27 34.73 2013-04-21 01:44:49.534
27 35.72 2013-04-20 16:31:13.013
27 37.4 2013-04-21 01:57:09.138
27 37.53 2013-04-21 01:48:52.094
27 38.76 2013-04-21 01:55:24.458
27 39.43 2013-04-21 01:47:15.654
27 40.38 2013-04-21 01:58:00.717
27 41.34 2013-04-21 01:42:36.039
27 43.86 2013-04-21 01:53:47.164
28 35.73 2013-04-21 00:59:15.645
28 37.5 2013-04-21 00:57:31.360
28 40.86 2013-04-21 00:58:28.384
29 33.76 2013-04-20 22:46:15.364
29 33.84 2013-04-20 22:40:48.218
29 33.89 2013-04-20 22:07:25.051
29 33.93 2013-04-20 22:44:39.864
29 34.0 2013-04-20 22:42:26.107
29 34.2 2013-04-20 22:52:39.410
29 34.29 2013-04-21 00:54:44.241
29 34.35 2013-04-20 23:55:20.934
29 34.36 2013-04-20 16:34:12.686
29 34.38 2013-04-20 22:51:45.877
